"-Inf","5","0","-50.3632478632479","-5.22007244680935","0","0","0",NA,NA,NA
"5","10","0","-45.3632478632479","-4.70183020983295","0","0","0",NA,NA,NA
"10","15","0","-40.3632478632479","-4.18358797285654","1e-05","1e-05","0.00234",NA,NA,NA
"15","20","0","-35.3632478632479","-3.66534573588014","0.00012","0.00011","0.02574",NA,NA,NA
"20","25","0","-30.3632478632479","-3.14710349890373","0.00082","7e-04","0.1638",NA,NA,NA
"25","30","0","-25.3632478632479","-2.62886126192732","0.00428","0.00346","0.80964",NA,NA,NA
"30","35","2","-20.3632478632479","-2.11061902495092","0.0174","0.01312","3.07008",NA,NA,NA
"35","40","6","-15.3632478632479","-1.59237678797451","0.05565","0.03825","8.9505","8","13.0221","1.93682"
"40","45","20","-10.3632478632479","-1.07413455099811","0.14138","0.08573","20.06082","20","20.06082","0.00018"
"45","50","50","-5.36324786324786","-0.5558923140217","0.28914","0.14776","34.57584","50","34.57584","6.88066"
"50","55","38","-0.363247863247864","-0.0376500770452945","0.48498","0.19584","45.82656","38","45.82656","1.33667"
"55","60","48","4.63675213675214","0.480592159931111","0.6846","0.19961","46.70874","48","46.70874","0.0357"
"60","65","34","9.63675213675214","0.998834396907517","0.84106","0.15647","36.61398","34","36.61398","0.18662"
"65","70","21","14.6367521367521","1.51707663388392","0.93538","0.09431","22.06854","21","22.06854","0.05174"
"70","75","10","19.6367521367521","2.03531887086033","0.97909","0.04371","10.22814","15","15.12342","0.00101"
"75","80","2","24.6367521367521","2.55356110783673","0.99467","0.01558","3.64572",NA,NA,NA
"80","85","1","29.6367521367521","3.07180334481314","0.99894","0.00427","0.99918",NA,NA,NA
"85","90","1","34.6367521367521","3.59004558178955","0.99983","9e-04","0.2106",NA,NA,NA
"90","Inf","1","Inf","Inf","1","0.00017","0.03978",NA,NA,NA
"10.4294","5","11.07","TRUE",NA,NA,NA,NA,NA,NA,NA
