"-Inf","5","0","-37.4","-4.86947795579358","0","0","0",NA,NA,NA
"5","10","0","-32.4","-4.21847822908321","1e-05","1e-05","0.001",NA,NA,NA
"10","15","0","-27.4","-3.56747850237284","0.00018","0.00017","0.017",NA,NA,NA
"15","20","0","-22.4","-2.91647877566247","0.00177","0.00159","0.159",NA,NA,NA
"20","25","0","-17.4","-2.26547904895209","0.01174","0.00997","0.997",NA,NA,NA
"25","30","0","-12.4","-1.61447932224172","0.05321","0.04147","4.147","0","5.321","5.321"
"30","35","17","-7.4","-0.96347959553135","0.16765","0.11444","11.444","17","11.444","2.69741"
"35","40","27","-2.4","-0.312479868820978","0.37734","0.20968","20.968","27","20.968","1.73526"
"40","45","23","2.6","0.338519857889394","0.63251","0.25518","25.518","23","25.518","0.24846"
"45","50","18","7.6","0.989519584599766","0.8388","0.20628","20.628","18","20.628","0.33481"
"50","55","7","12.6","1.64051931131014","0.94955","0.11076","11.076","7","11.076","1.49998"
"55","60","6","17.6","2.29151903802051","0.98903","0.03948","3.948","8","5.044","1.73234"
"60","65","1","22.6","2.94251876473088","0.99837","0.00934","0.934",NA,NA,NA
"65","70","1","27.6","3.59351849144125","0.99984","0.00146","0.146",NA,NA,NA
"70","75","0","32.6","4.24451821815163","0.99999","0.00015","0.015",NA,NA,NA
"75","80","0","37.6","4.895517944862","1","1e-05","0.001",NA,NA,NA
"80","85","0","42.6","5.54651767157237","1","0","0",NA,NA,NA
"85","90","0","47.6","6.19751739828274","1","0","0",NA,NA,NA
"90","Inf","0","Inf","Inf","1","0","0",NA,NA,NA
"13.56926","4","9.488","FALSE",NA,NA,NA,NA,NA,NA,NA
